query_id,question_type,strategy,mode,context_precision@5,context_recall@5,top5_jaccard_overlap
auto-V-10-Q-2025-07-30-2,deep context,fixed,vector,0.2,0.5,0.765
auto-V-10-Q-2025-07-30-2,deep context,fixed,bm25,0.4,1.0,0.617
auto-V-10-Q-2025-07-30-2,deep context,fixed,hybrid,0.4,1.0,0.66
auto-V-10-Q-2025-07-30-2,deep context,fixed,hybrid+rerank,0.2,0.5,0.47
auto-V-10-Q-2025-07-30-2,deep context,section,vector,0.2,0.5,0.633
auto-V-10-Q-2025-07-30-2,deep context,section,bm25,0.2,0.5,0.608
auto-V-10-Q-2025-07-30-2,deep context,section,hybrid,0.2,0.5,0.578
auto-V-10-Q-2025-07-30-2,deep context,section,hybrid+rerank,0.2,0.5,0.608
auto-V-10-Q-2025-07-30-2,deep context,semantic,vector,0.2,1.0,0.454
auto-V-10-Q-2025-07-30-2,deep context,semantic,bm25,0.2,1.0,0.575
auto-V-10-Q-2025-07-30-2,deep context,semantic,hybrid,0.2,1.0,0.454
auto-V-10-Q-2025-07-30-2,deep context,semantic,hybrid+rerank,0.2,1.0,0.575
auto-V-10-Q-2025-07-30-2,deep context,hierarchical,vector,0.2,1.0,0.454
auto-V-10-Q-2025-07-30-2,deep context,hierarchical,bm25,0.2,1.0,0.575
auto-V-10-Q-2025-07-30-2,deep context,hierarchical,hybrid,0.2,1.0,0.575
auto-V-10-Q-2025-07-30-2,deep context,hierarchical,hybrid+rerank,0.2,1.0,0.575
auto-V-8-K-2025-08-08-5,simple fact,fixed,vector,0.4,1.0,0.243
auto-V-8-K-2025-08-08-5,simple fact,fixed,bm25,0.4,1.0,0.326
auto-V-8-K-2025-08-08-5,simple fact,fixed,hybrid,0.4,1.0,0.231
auto-V-8-K-2025-08-08-5,simple fact,fixed,hybrid+rerank,0.4,1.0,0.201
auto-V-8-K-2025-08-08-5,simple fact,section,vector,0.2,1.0,0.208
auto-V-8-K-2025-08-08-5,simple fact,section,bm25,0.2,1.0,0.198
auto-V-8-K-2025-08-08-5,simple fact,section,hybrid,0.2,1.0,0.168
auto-V-8-K-2025-08-08-5,simple fact,section,hybrid+rerank,0.2,1.0,0.167
auto-V-8-K-2025-08-08-5,simple fact,semantic,vector,0.2,1.0,0.394
auto-V-8-K-2025-08-08-5,simple fact,semantic,bm25,0.2,1.0,0.169
auto-V-8-K-2025-08-08-5,simple fact,semantic,hybrid,0.2,1.0,0.147
auto-V-8-K-2025-08-08-5,simple fact,semantic,hybrid+rerank,0.2,1.0,0.144
auto-V-8-K-2025-08-08-5,simple fact,hierarchical,vector,0.2,1.0,0.394
auto-V-8-K-2025-08-08-5,simple fact,hierarchical,bm25,0.2,1.0,0.169
auto-V-8-K-2025-08-08-5,simple fact,hierarchical,hybrid,0.2,1.0,0.147
auto-V-8-K-2025-08-08-5,simple fact,hierarchical,hybrid+rerank,0.2,1.0,0.144
auto-MA-10-Q-2025-05-01-0,simple fact,fixed,vector,0.0,0.0,0.228
auto-MA-10-Q-2025-05-01-0,simple fact,fixed,bm25,0.2,1.0,0.406
auto-MA-10-Q-2025-05-01-0,simple fact,fixed,hybrid,0.2,1.0,0.402
auto-MA-10-Q-2025-05-01-0,simple fact,fixed,hybrid+rerank,0.2,1.0,0.448
auto-MA-10-Q-2025-05-01-0,simple fact,section,vector,0.2,1.0,0.477
auto-MA-10-Q-2025-05-01-0,simple fact,section,bm25,0.2,1.0,0.463
auto-MA-10-Q-2025-05-01-0,simple fact,section,hybrid,0.2,1.0,0.526
auto-MA-10-Q-2025-05-01-0,simple fact,section,hybrid+rerank,0.2,1.0,0.494
auto-MA-10-Q-2025-05-01-0,simple fact,semantic,vector,0.0,0.0,0.534
auto-MA-10-Q-2025-05-01-0,simple fact,semantic,bm25,0.2,1.0,0.376
auto-MA-10-Q-2025-05-01-0,simple fact,semantic,hybrid,0.0,0.0,0.639
auto-MA-10-Q-2025-05-01-0,simple fact,semantic,hybrid+rerank,0.2,1.0,0.363
auto-MA-10-Q-2025-05-01-0,simple fact,hierarchical,vector,0.0,0.0,0.534
auto-MA-10-Q-2025-05-01-0,simple fact,hierarchical,bm25,0.2,1.0,0.655
auto-MA-10-Q-2025-05-01-0,simple fact,hierarchical,hybrid,0.0,0.0,0.639
auto-MA-10-Q-2025-05-01-0,simple fact,hierarchical,hybrid+rerank,0.2,1.0,0.363
auto-MA-8-K-2025-11-10-0,simple fact,fixed,vector,0.4,1.0,0.078
auto-MA-8-K-2025-11-10-0,simple fact,fixed,bm25,0.4,1.0,0.183
auto-MA-8-K-2025-11-10-0,simple fact,fixed,hybrid,0.4,1.0,0.087
auto-MA-8-K-2025-11-10-0,simple fact,fixed,hybrid+rerank,0.4,1.0,0.203
auto-MA-8-K-2025-11-10-0,simple fact,section,vector,0.2,1.0,0.113
auto-MA-8-K-2025-11-10-0,simple fact,section,bm25,0.2,1.0,0.19
auto-MA-8-K-2025-11-10-0,simple fact,section,hybrid,0.2,1.0,0.144
auto-MA-8-K-2025-11-10-0,simple fact,section,hybrid+rerank,0.2,1.0,0.201
auto-MA-8-K-2025-11-10-0,simple fact,semantic,vector,0.2,1.0,0.126
auto-MA-8-K-2025-11-10-0,simple fact,semantic,bm25,0.2,1.0,0.125
auto-MA-8-K-2025-11-10-0,simple fact,semantic,hybrid,0.2,1.0,0.152
auto-MA-8-K-2025-11-10-0,simple fact,semantic,hybrid+rerank,0.2,1.0,0.124
auto-MA-8-K-2025-11-10-0,simple fact,hierarchical,vector,0.2,1.0,0.126
auto-MA-8-K-2025-11-10-0,simple fact,hierarchical,bm25,0.2,1.0,0.08
auto-MA-8-K-2025-11-10-0,simple fact,hierarchical,hybrid,0.2,1.0,0.176
auto-MA-8-K-2025-11-10-0,simple fact,hierarchical,hybrid+rerank,0.2,1.0,0.115
auto-V-10-Q-2025-07-30-4,simple fact,fixed,vector,0.2,0.5,0.188
auto-V-10-Q-2025-07-30-4,simple fact,fixed,bm25,0.0,0.0,0.281
auto-V-10-Q-2025-07-30-4,simple fact,fixed,hybrid,0.0,0.0,0.363
auto-V-10-Q-2025-07-30-4,simple fact,fixed,hybrid+rerank,0.4,1.0,0.272
auto-V-10-Q-2025-07-30-4,simple fact,section,vector,0.0,0.0,0.245
auto-V-10-Q-2025-07-30-4,simple fact,section,bm25,0.0,0.0,0.222
auto-V-10-Q-2025-07-30-4,simple fact,section,hybrid,0.2,0.5,0.332
auto-V-10-Q-2025-07-30-4,simple fact,section,hybrid+rerank,0.4,1.0,0.265
auto-V-10-Q-2025-07-30-4,simple fact,semantic,vector,0.2,1.0,0.341
auto-V-10-Q-2025-07-30-4,simple fact,semantic,bm25,0.0,0.0,0.549
auto-V-10-Q-2025-07-30-4,simple fact,semantic,hybrid,0.2,1.0,0.263
auto-V-10-Q-2025-07-30-4,simple fact,semantic,hybrid+rerank,0.2,1.0,0.341
auto-V-10-Q-2025-07-30-4,simple fact,hierarchical,vector,0.2,1.0,0.341
auto-V-10-Q-2025-07-30-4,simple fact,hierarchical,bm25,0.0,0.0,0.549
auto-V-10-Q-2025-07-30-4,simple fact,hierarchical,hybrid,0.0,0.0,0.296
auto-V-10-Q-2025-07-30-4,simple fact,hierarchical,hybrid+rerank,0.2,1.0,0.341
auto-MA-10-Q-2025-07-31-3,deep context,fixed,vector,0.0,0.0,0.165
auto-MA-10-Q-2025-07-31-3,deep context,fixed,bm25,0.4,1.0,0.45
auto-MA-10-Q-2025-07-31-3,deep context,fixed,hybrid,0.2,0.5,0.336
auto-MA-10-Q-2025-07-31-3,deep context,fixed,hybrid+rerank,0.2,0.5,0.422
auto-MA-10-Q-2025-07-31-3,deep context,section,vector,0.0,0.0,0.167
auto-MA-10-Q-2025-07-31-3,deep context,section,bm25,0.4,1.0,0.347
auto-MA-10-Q-2025-07-31-3,deep context,section,hybrid,0.2,0.5,0.34
auto-MA-10-Q-2025-07-31-3,deep context,section,hybrid+rerank,0.2,0.5,0.342
auto-MA-10-Q-2025-07-31-3,deep context,semantic,vector,0.2,1.0,0.476
auto-MA-10-Q-2025-07-31-3,deep context,semantic,bm25,0.2,1.0,0.637
auto-MA-10-Q-2025-07-31-3,deep context,semantic,hybrid,0.2,1.0,0.637
auto-MA-10-Q-2025-07-31-3,deep context,semantic,hybrid+rerank,0.2,1.0,0.637
auto-MA-10-Q-2025-07-31-3,deep context,hierarchical,vector,0.2,1.0,0.476
auto-MA-10-Q-2025-07-31-3,deep context,hierarchical,bm25,0.2,1.0,0.637
auto-MA-10-Q-2025-07-31-3,deep context,hierarchical,hybrid,0.2,1.0,0.637
auto-MA-10-Q-2025-07-31-3,deep context,hierarchical,hybrid+rerank,0.2,1.0,0.637
auto-V-8-K-2025-12-30-2,simple fact,fixed,vector,0.0,0.0,0.371
auto-V-8-K-2025-12-30-2,simple fact,fixed,bm25,0.0,0.0,0.241
auto-V-8-K-2025-12-30-2,simple fact,fixed,hybrid,0.0,0.0,0.297
auto-V-8-K-2025-12-30-2,simple fact,fixed,hybrid+rerank,0.0,0.0,0.337
auto-V-8-K-2025-12-30-2,simple fact,section,vector,0.0,0.0,0.446
auto-V-8-K-2025-12-30-2,simple fact,section,bm25,0.2,1.0,0.335
auto-V-8-K-2025-12-30-2,simple fact,section,hybrid,0.0,0.0,0.223
auto-V-8-K-2025-12-30-2,simple fact,section,hybrid+rerank,0.2,1.0,0.246
auto-V-8-K-2025-12-30-2,simple fact,semantic,vector,,,0.334
auto-V-8-K-2025-12-30-2,simple fact,semantic,bm25,,,0.386
auto-V-8-K-2025-12-30-2,simple fact,semantic,hybrid,,,0.288
auto-V-8-K-2025-12-30-2,simple fact,semantic,hybrid+rerank,,,0.352
auto-V-8-K-2025-12-30-2,simple fact,hierarchical,vector,,,0.334
auto-V-8-K-2025-12-30-2,simple fact,hierarchical,bm25,,,0.386
auto-V-8-K-2025-12-30-2,simple fact,hierarchical,hybrid,,,0.288
auto-V-8-K-2025-12-30-2,simple fact,hierarchical,hybrid+rerank,,,0.352
auto-MA-8-K-2025-06-26-1,deep context,fixed,vector,0.2,1.0,0.212
auto-MA-8-K-2025-06-26-1,deep context,fixed,bm25,0.2,1.0,0.226
auto-MA-8-K-2025-06-26-1,deep context,fixed,hybrid,0.2,1.0,0.226
auto-MA-8-K-2025-06-26-1,deep context,fixed,hybrid+rerank,0.2,1.0,0.285
auto-MA-8-K-2025-06-26-1,deep context,section,vector,0.2,1.0,0.202
auto-MA-8-K-2025-06-26-1,deep context,section,bm25,0.2,1.0,0.213
auto-MA-8-K-2025-06-26-1,deep context,section,hybrid,0.2,1.0,0.285
auto-MA-8-K-2025-06-26-1,deep context,section,hybrid+rerank,0.2,1.0,0.209
auto-MA-8-K-2025-06-26-1,deep context,semantic,vector,0.2,1.0,0.168
auto-MA-8-K-2025-06-26-1,deep context,semantic,bm25,0.2,1.0,0.178
auto-MA-8-K-2025-06-26-1,deep context,semantic,hybrid,0.2,1.0,0.166
auto-MA-8-K-2025-06-26-1,deep context,semantic,hybrid+rerank,0.2,1.0,0.184
auto-MA-8-K-2025-06-26-1,deep context,hierarchical,vector,0.2,1.0,0.168
auto-MA-8-K-2025-06-26-1,deep context,hierarchical,bm25,0.2,1.0,0.27
auto-MA-8-K-2025-06-26-1,deep context,hierarchical,hybrid,0.2,1.0,0.19
auto-MA-8-K-2025-06-26-1,deep context,hierarchical,hybrid+rerank,0.2,1.0,0.184
auto-MA-10-Q-2025-10-30-2,deep context,fixed,vector,0.4,1.0,0.321
auto-MA-10-Q-2025-10-30-2,deep context,fixed,bm25,0.2,0.5,0.349
auto-MA-10-Q-2025-10-30-2,deep context,fixed,hybrid,0.4,1.0,0.309
auto-MA-10-Q-2025-10-30-2,deep context,fixed,hybrid+rerank,0.2,0.5,0.349
auto-MA-10-Q-2025-10-30-2,deep context,section,vector,0.4,0.6666666666666666,0.29
auto-MA-10-Q-2025-10-30-2,deep context,section,bm25,0.4,0.6666666666666666,0.347
auto-MA-10-Q-2025-10-30-2,deep context,section,hybrid,0.4,0.6666666666666666,0.332
auto-MA-10-Q-2025-10-30-2,deep context,section,hybrid+rerank,0.4,0.6666666666666666,0.308
auto-MA-10-Q-2025-10-30-2,deep context,semantic,vector,0.2,1.0,0.545
auto-MA-10-Q-2025-10-30-2,deep context,semantic,bm25,0.2,1.0,0.557
auto-MA-10-Q-2025-10-30-2,deep context,semantic,hybrid,0.2,1.0,0.545
auto-MA-10-Q-2025-10-30-2,deep context,semantic,hybrid+rerank,0.2,1.0,0.557
auto-MA-10-Q-2025-10-30-2,deep context,hierarchical,vector,0.2,1.0,0.545
auto-MA-10-Q-2025-10-30-2,deep context,hierarchical,bm25,0.2,1.0,0.545
auto-MA-10-Q-2025-10-30-2,deep context,hierarchical,hybrid,0.2,1.0,0.545
auto-MA-10-Q-2025-10-30-2,deep context,hierarchical,hybrid+rerank,0.2,1.0,0.545
auto-V-8-K-2025-10-28-0,simple fact,fixed,vector,0.2,0.5,0.198
auto-V-8-K-2025-10-28-0,simple fact,fixed,bm25,0.4,1.0,0.17
auto-V-8-K-2025-10-28-0,simple fact,fixed,hybrid,0.2,0.5,0.109
auto-V-8-K-2025-10-28-0,simple fact,fixed,hybrid+rerank,0.4,1.0,0.244
auto-V-8-K-2025-10-28-0,simple fact,section,vector,0.2,1.0,0.198
auto-V-8-K-2025-10-28-0,simple fact,section,bm25,0.2,1.0,0.094
auto-V-8-K-2025-10-28-0,simple fact,section,hybrid,0.2,1.0,0.203
auto-V-8-K-2025-10-28-0,simple fact,section,hybrid+rerank,0.2,1.0,0.323
auto-V-8-K-2025-10-28-0,simple fact,semantic,vector,0.0,0.0,0.382
auto-V-8-K-2025-10-28-0,simple fact,semantic,bm25,0.0,0.0,0.205
auto-V-8-K-2025-10-28-0,simple fact,semantic,hybrid,0.0,0.0,0.225
auto-V-8-K-2025-10-28-0,simple fact,semantic,hybrid+rerank,0.0,0.0,0.175
auto-V-8-K-2025-10-28-0,simple fact,hierarchical,vector,0.0,0.0,0.882
auto-V-8-K-2025-10-28-0,simple fact,hierarchical,bm25,0.0,0.0,0.205
auto-V-8-K-2025-10-28-0,simple fact,hierarchical,hybrid,0.0,0.0,0.315
auto-V-8-K-2025-10-28-0,simple fact,hierarchical,hybrid+rerank,0.0,0.0,0.315
auto-V-8-K-2025-10-28-1,simple fact,fixed,vector,0.2,1.0,0.381
auto-V-8-K-2025-10-28-1,simple fact,fixed,bm25,0.2,1.0,0.43
auto-V-8-K-2025-10-28-1,simple fact,fixed,hybrid,0.2,1.0,0.352
auto-V-8-K-2025-10-28-1,simple fact,fixed,hybrid+rerank,0.2,1.0,0.367
auto-V-8-K-2025-10-28-1,simple fact,section,vector,0.2,1.0,0.352
auto-V-8-K-2025-10-28-1,simple fact,section,bm25,0.2,1.0,0.454
auto-V-8-K-2025-10-28-1,simple fact,section,hybrid,0.2,1.0,0.444
auto-V-8-K-2025-10-28-1,simple fact,section,hybrid+rerank,0.2,1.0,0.395
auto-V-8-K-2025-10-28-1,simple fact,semantic,vector,0.0,0.0,0.716
auto-V-8-K-2025-10-28-1,simple fact,semantic,bm25,0.2,1.0,0.454
auto-V-8-K-2025-10-28-1,simple fact,semantic,hybrid,0.2,1.0,0.636
auto-V-8-K-2025-10-28-1,simple fact,semantic,hybrid+rerank,0.2,1.0,0.705
auto-V-8-K-2025-10-28-1,simple fact,hierarchical,vector,0.0,0.0,0.716
auto-V-8-K-2025-10-28-1,simple fact,hierarchical,bm25,0.2,1.0,0.454
auto-V-8-K-2025-10-28-1,simple fact,hierarchical,hybrid,0.2,1.0,0.619
auto-V-8-K-2025-10-28-1,simple fact,hierarchical,hybrid+rerank,0.2,1.0,0.632
auto-V-8-K-2025-12-30-0,simple fact,fixed,vector,0.0,0.0,0.254
auto-V-8-K-2025-12-30-0,simple fact,fixed,bm25,0.2,1.0,0.217
auto-V-8-K-2025-12-30-0,simple fact,fixed,hybrid,0.2,1.0,0.213
auto-V-8-K-2025-12-30-0,simple fact,fixed,hybrid+rerank,0.2,1.0,0.223
auto-V-8-K-2025-12-30-0,simple fact,section,vector,0.0,0.0,0.376
auto-V-8-K-2025-12-30-0,simple fact,section,bm25,0.2,1.0,0.136
auto-V-8-K-2025-12-30-0,simple fact,section,hybrid,0.2,1.0,0.14
auto-V-8-K-2025-12-30-0,simple fact,section,hybrid+rerank,0.2,1.0,0.145
auto-V-8-K-2025-12-30-0,simple fact,semantic,vector,0.2,1.0,0.237
auto-V-8-K-2025-12-30-0,simple fact,semantic,bm25,0.2,1.0,0.212
auto-V-8-K-2025-12-30-0,simple fact,semantic,hybrid,0.2,1.0,0.237
auto-V-8-K-2025-12-30-0,simple fact,semantic,hybrid+rerank,0.2,1.0,0.21
auto-V-8-K-2025-12-30-0,simple fact,hierarchical,vector,0.2,1.0,0.237
auto-V-8-K-2025-12-30-0,simple fact,hierarchical,bm25,0.2,1.0,0.212
auto-V-8-K-2025-12-30-0,simple fact,hierarchical,hybrid,0.2,1.0,0.237
auto-V-8-K-2025-12-30-0,simple fact,hierarchical,hybrid+rerank,0.2,1.0,0.21
auto-MA-10-Q-2025-10-30-4,simple fact,fixed,vector,0.0,0.0,0.241
auto-MA-10-Q-2025-10-30-4,simple fact,fixed,bm25,0.0,0.0,0.195
auto-MA-10-Q-2025-10-30-4,simple fact,fixed,hybrid,0.0,0.0,0.316
auto-MA-10-Q-2025-10-30-4,simple fact,fixed,hybrid+rerank,0.0,0.0,0.24
auto-MA-10-Q-2025-10-30-4,simple fact,section,vector,0.0,0.0,0.162
auto-MA-10-Q-2025-10-30-4,simple fact,section,bm25,0.0,0.0,0.23
auto-MA-10-Q-2025-10-30-4,simple fact,section,hybrid,0.0,0.0,0.165
auto-MA-10-Q-2025-10-30-4,simple fact,section,hybrid+rerank,0.0,0.0,0.33
auto-MA-10-Q-2025-10-30-4,simple fact,semantic,vector,0.0,0.0,0.173
auto-MA-10-Q-2025-10-30-4,simple fact,semantic,bm25,0.0,0.0,0.217
auto-MA-10-Q-2025-10-30-4,simple fact,semantic,hybrid,0.0,0.0,0.182
auto-MA-10-Q-2025-10-30-4,simple fact,semantic,hybrid+rerank,0.0,0.0,0.235
auto-MA-10-Q-2025-10-30-4,simple fact,hierarchical,vector,0.0,0.0,0.173
auto-MA-10-Q-2025-10-30-4,simple fact,hierarchical,bm25,0.0,0.0,0.226
auto-MA-10-Q-2025-10-30-4,simple fact,hierarchical,hybrid,0.0,0.0,0.182
auto-MA-10-Q-2025-10-30-4,simple fact,hierarchical,hybrid+rerank,0.0,0.0,0.235
auto-MA-10-Q-2025-10-30-5,simple fact,fixed,vector,0.2,0.1,0.241
auto-MA-10-Q-2025-10-30-5,simple fact,fixed,bm25,0.6,0.3,0.218
auto-MA-10-Q-2025-10-30-5,simple fact,fixed,hybrid,0.6,0.3,0.325
auto-MA-10-Q-2025-10-30-5,simple fact,fixed,hybrid+rerank,0.6,0.3,0.36
auto-MA-10-Q-2025-10-30-5,simple fact,section,vector,0.2,0.1111111111111111,0.202
auto-MA-10-Q-2025-10-30-5,simple fact,section,bm25,0.6,0.3333333333333333,0.228
auto-MA-10-Q-2025-10-30-5,simple fact,section,hybrid,0.4,0.2222222222222222,0.264
auto-MA-10-Q-2025-10-30-5,simple fact,section,hybrid+rerank,0.4,0.2222222222222222,0.301
auto-MA-10-Q-2025-10-30-5,simple fact,semantic,vector,0.0,0.0,0.535
auto-MA-10-Q-2025-10-30-5,simple fact,semantic,bm25,0.6,0.375,0.331
auto-MA-10-Q-2025-10-30-5,simple fact,semantic,hybrid,0.4,0.25,0.295
auto-MA-10-Q-2025-10-30-5,simple fact,semantic,hybrid+rerank,0.8,0.5,0.333
auto-MA-10-Q-2025-10-30-5,simple fact,hierarchical,vector,0.0,0.0,0.535
auto-MA-10-Q-2025-10-30-5,simple fact,hierarchical,bm25,0.6,0.375,0.331
auto-MA-10-Q-2025-10-30-5,simple fact,hierarchical,hybrid,0.4,0.25,0.295
auto-MA-10-Q-2025-10-30-5,simple fact,hierarchical,hybrid+rerank,0.6,0.375,0.362
auto-V-10-K-2025-11-06-3,simple fact,fixed,vector,0.0,0.0,0.093
auto-V-10-K-2025-11-06-3,simple fact,fixed,bm25,0.2,1.0,0.158
auto-V-10-K-2025-11-06-3,simple fact,fixed,hybrid,0.2,1.0,0.124
auto-V-10-K-2025-11-06-3,simple fact,fixed,hybrid+rerank,0.2,1.0,0.127
auto-V-10-K-2025-11-06-3,simple fact,section,vector,0.0,0.0,0.073
auto-V-10-K-2025-11-06-3,simple fact,section,bm25,0.2,1.0,0.158
auto-V-10-K-2025-11-06-3,simple fact,section,hybrid,0.2,1.0,0.15
auto-V-10-K-2025-11-06-3,simple fact,section,hybrid+rerank,0.2,1.0,0.158
auto-V-10-K-2025-11-06-3,simple fact,semantic,vector,0.2,1.0,0.233
auto-V-10-K-2025-11-06-3,simple fact,semantic,bm25,0.2,1.0,0.224
auto-V-10-K-2025-11-06-3,simple fact,semantic,hybrid,0.2,1.0,0.15
auto-V-10-K-2025-11-06-3,simple fact,semantic,hybrid+rerank,0.2,1.0,0.251
auto-V-10-K-2025-11-06-3,simple fact,hierarchical,vector,0.2,1.0,0.231
auto-V-10-K-2025-11-06-3,simple fact,hierarchical,bm25,0.2,1.0,0.224
auto-V-10-K-2025-11-06-3,simple fact,hierarchical,hybrid,0.2,1.0,0.141
auto-V-10-K-2025-11-06-3,simple fact,hierarchical,hybrid+rerank,0.2,1.0,0.429
auto-V-8-K-2025-12-30-1,simple fact,fixed,vector,0.0,0.0,0.166
auto-V-8-K-2025-12-30-1,simple fact,fixed,bm25,0.2,1.0,0.265
auto-V-8-K-2025-12-30-1,simple fact,fixed,hybrid,0.0,0.0,0.165
auto-V-8-K-2025-12-30-1,simple fact,fixed,hybrid+rerank,0.2,1.0,0.296
auto-V-8-K-2025-12-30-1,simple fact,section,vector,0.0,0.0,0.129
auto-V-8-K-2025-12-30-1,simple fact,section,bm25,0.2,1.0,0.246
auto-V-8-K-2025-12-30-1,simple fact,section,hybrid,0.2,1.0,0.2
auto-V-8-K-2025-12-30-1,simple fact,section,hybrid+rerank,0.2,1.0,0.304
auto-V-8-K-2025-12-30-1,simple fact,semantic,vector,0.2,1.0,0.228
auto-V-8-K-2025-12-30-1,simple fact,semantic,bm25,0.2,1.0,0.214
auto-V-8-K-2025-12-30-1,simple fact,semantic,hybrid,0.2,1.0,0.262
auto-V-8-K-2025-12-30-1,simple fact,semantic,hybrid+rerank,0.2,1.0,0.384
auto-V-8-K-2025-12-30-1,simple fact,hierarchical,vector,0.2,1.0,0.228
auto-V-8-K-2025-12-30-1,simple fact,hierarchical,bm25,0.2,1.0,0.214
auto-V-8-K-2025-12-30-1,simple fact,hierarchical,hybrid,0.2,1.0,0.314
auto-V-8-K-2025-12-30-1,simple fact,hierarchical,hybrid+rerank,0.2,1.0,0.24
auto-V-8-K-2025-09-26-2,simple fact,fixed,vector,0.2,1.0,0.327
auto-V-8-K-2025-09-26-2,simple fact,fixed,bm25,0.2,1.0,0.159
auto-V-8-K-2025-09-26-2,simple fact,fixed,hybrid,0.2,1.0,0.224
auto-V-8-K-2025-09-26-2,simple fact,fixed,hybrid+rerank,0.2,1.0,0.262
auto-V-8-K-2025-09-26-2,simple fact,section,vector,0.2,1.0,0.288
auto-V-8-K-2025-09-26-2,simple fact,section,bm25,0.0,0.0,0.13
auto-V-8-K-2025-09-26-2,simple fact,section,hybrid,0.2,1.0,0.245
auto-V-8-K-2025-09-26-2,simple fact,section,hybrid+rerank,0.2,1.0,0.211
auto-V-8-K-2025-09-26-2,simple fact,semantic,vector,0.2,1.0,0.505
auto-V-8-K-2025-09-26-2,simple fact,semantic,bm25,0.0,0.0,0.713
auto-V-8-K-2025-09-26-2,simple fact,semantic,hybrid,0.2,1.0,0.187
auto-V-8-K-2025-09-26-2,simple fact,semantic,hybrid+rerank,0.2,1.0,0.26
auto-V-8-K-2025-09-26-2,simple fact,hierarchical,vector,0.2,1.0,0.505
auto-V-8-K-2025-09-26-2,simple fact,hierarchical,bm25,0.0,0.0,0.442
auto-V-8-K-2025-09-26-2,simple fact,hierarchical,hybrid,0.2,1.0,0.175
